level1,,
あり,ARI,蟻
かき,KAKI,柿
さく,SAKU,柵
たな,TANA,棚
なみ,NAMI,波
はな,HANA,花
まる,MARU,丸
やり,YARI,槍
らん,RAN,蘭
わし,WASI,鷲
level2,,
あんど,ANDO,安堵
かがみ,KAGAMI,鏡
さんま,SANMA,秋刀魚
たいし,TAISI,大志
なんど,NANDO,納戸
はさん,HASAN,破産
まんと,MANTO,マント
やかん,YAKAN,薬缶
らいん,RAIN,ライン
わいん,WAIN,ワイン
いかん,IKAN,遺憾
きけん,KIKEN,危険
してい,SITEI,指定
ちけい,TIKEI,地形
にほん,NIHON,日本
ひとう,HITOU,秘湯
みうち,MIUTI,身内
りこう,RIKOU,利口
level3,,
あんせい,ANSEI,安静
かいとう,KAITOU,怪盗
さざんか,SAZANKA,山茶花
たいおん,TAION,体温
なんかい,NANKAI,難解
はんばい,HANBAI,販売
まらそん,MARASON,マラソン
やくしゃ,YAKUSYA,役者
らいごう,RAIGOU,来迎
わんたん,WANTAN,ワンタン
いんどあ,INDOA,インドア
かんぱん,KANPAN,乾パン
せいかい,SEIKAI,正解
ちゅうぎ,TYUUGI,忠義
にんそう,NINSOU,人相
ぱんどら,PANDORA,パンドラ
みんえい,MINNEI,民営
ゆうせい,YUUSEI,優勢
りんどう,RINDOU,竜胆
level4,,
あいあいしい,AIAISII,愛愛しい
いしやきいも,ISIYAKIIMO,石焼き芋
がいこうかん,GAIKOUKAN,外交官
きゅうけつき,KYUUKETUKI,吸血鬼
さいせいすう,SAISEISUU,再生数
しんてんち,SINTENTI,新天地
だいなまいと,DAINAMAITO,ダイナマイト
ちきゅうぎ,TIKYUUGI,地球儀
はろうぃん,HAROWIN,ハロウィン
ひろうえん,HIROUEN,披露宴
まんせいてき,MANSEITEKI,慢性的
みつもりしょ,MITUMORISYO,見積書
やくどうかん,YAKUDOUKAN,躍動感
ゆうじょう,YUUJOU,友情
うぃんどう,WINDOU,ウィンドウ
level5,,
うんどうしんけい,UNDOUSINKEI,運動神経
えいせいほうそう,EISEIHOUSOU,衛星放送
おうきゅうしょち,OUKYUUSYOTI,応急処置
かいきにっしょく,KAIKINISSYOKU,皆既日食
くじゅうをなめる,KUJUUWONAMERU,苦汁を舐める
けいこうとりょう,KEIKOUTORYOU,蛍光塗料
さいごつうちょう,SAIGOTUUTYOU,最後通牒
じぇっとえんじん,JETTOENJIN,ジェットエンジン
そうかんけいすう,SOUKANKEISUU,相関係数
ちぇっくぽいんと,TYEKKUPOINTO,チェックポイント
でぃすかっしょん,DHISUKASSYON,ディスカッション
とくがわいえやす,TOKUGAWAIEYASU,徳川家康
ぬれぎぬをきせる,NUREGINUWOKISERU,濡れ衣を着せる
ねんこうじょれつ,NENKOUJORETU,年功序列
はくしじゃっこう,HAKUSIJAKKOU,薄志弱行
ひょうげんりょく,HYOUGENRYOKU,表現力
ぶんがくさくひん,BUNGAKUSAKUHIN,文学作品
まいくろふぃるむ,MAIKUROFIRUMU,マイクロフィルム
めいきょうしすい,MEIKYOUSISUI,明鏡止水
もんがいふしゅつ,MONGAIHUSYUTU,門外不出
ゆうおうまいしん,YUUOUMAISIN,勇往邁進
よういしゅうとう,YOUISYUUTOU,用意周到
りゅうこあいうつ,RYUUKOAIUTU,竜虎相打つ
ろうどうくみあい,ROUDOUKUMIAI,労働組合
わようせっちゅう,WAYOUSETTYUU,和洋折衷
level6,,
どんぐりのせいくらべ,DONGURINOSEIKURABE,どんぐりの背比べ
かんようしょくぶつ,KANYOUSYOKUBUTU,観葉植物
すいじょうきばくはつ,SUIJOUKIBAKUHATU,水蒸気爆発
だいはしょうをかねる,DAIHASYOUWOKANERU,大は小を兼ねる
ねんりょうでんちしゃ,NENRYOUDENTISYA,燃料電池車
